threshold,min_area,true_positive,false_positive,false_negative,precision,recall,f1
0.31,3,54503,1179,33481,0.9788261915879458,0.6194649027095835,0.7587459802597691
0.32,1,59146,7364,28838,0.8892798075477372,0.6722358610656483,0.7656737478478127
0.32,2,57108,2517,30876,0.9577861635220126,0.6490725586470267,0.7737739568725484
0.32,3,54462,1155,33522,0.9792329683370192,0.618998908892526,0.7585183947186998
0.33,1,59086,7185,28898,0.8915815364186447,0.6715539188943445,0.7660821367216623
0.33,2,57055,2450,30929,0.9588269893286279,0.6484701763957084,0.7736848171728061
0.33,3,54389,1124,33595,0.9797524904076522,0.6181692125841062,0.7580506909552116
0.34,1,59052,7085,28932,0.8928738830004385,0.6711674849972722,0.7663069925577956
0.34,2,57025,2410,30959,0.9594515016404476,0.6481292053100564,0.7736451882050482
0.34,3,54344,1102,33640,0.9801248061176641,0.6176577559556283,0.7577773129749704
0.35,1,59015,6940,28969,0.8947767417178379,0.6707469539916349,0.7667322770707877
0.35,2,56963,2354,31021,0.9603149181516261,0.6474245317330424,0.7734231267947943
0.35,3,54284,1072,33700,0.9806344389045452,0.6169758137843244,0.7574159341425981
0.36,1,58983,6833,29001,0.89618026011912,0.6703832515002728,0.7670091027308192
0.36,2,56933,2316,31051,0.9609107326705936,0.6470835606473905,0.7733728172352665
0.36,3,54247,1063,33737,0.9807810522509492,0.616555282778687,0.7571426577525925
0.37,1,58942,6669,29042,0.8983554586883297,0.6699172576832151,0.7674989420228523
0.37,2,56895,2251,31089,0.9619416359517127,0.646651663938898,0.7733976755250459
0.37,3,54176,1043,33808,0.9811115739147757,0.6157483178759775,0.7566321934596344
0.38,1,58918,6565,29066,0.8997449719774598,0.6696444808146936,0.7678263079359081
0.38,2,56858,2218,31126,0.9624551425282687,0.6462311329332606,0.7732626138990889
0.38,3,54134,1025,33850,0.9814173570949437,0.6152709583560647,0.7563625186002809
0.39,1,58869,6442,29115,0.9013642418581862,0.6690875613747954,0.7680485338725985
0.39,2,56808,2165,31176,0.9632882844691638,0.6456628477905073,0.7731241111345496
0.39,3,54069,998,33915,0.981876623022863,0.6145321876704856,0.7559401891633053
0.4,1,58830,6315,29154,0.9030623992631821,0.6686442989634479,0.7683717649824656
0.4,2,56763,2117,31221,0.9640455163043479,0.6451513911620295,0.7730008715546356
0.4,3,54006,973,33978,0.9823023336182907,0.6138161483906165,0.7555241565999595
0.41,1,58812,6238,29172,0.9041045349730976,0.6684397163120568,0.7686135107231072
0.41,2,56726,2078,31258,0.9646622678729339,0.644730860156392,0.7728969670545276
0.41,3,53962,960,34022,0.9825206656713157,0.6133160574649936,0.7552097182763495
0.42,1,58776,6125,29208,0.9056254911326482,0.6680305510092744,0.7688916505870426
0.42,2,56692,2028,31292,0.9654632152588556,0.6443444262593199,0.7728759952012215
0.42,3,53879,934,34105,0.982960246656815,0.6123727041280232,0.7546236965762585
0.43,1,58742,6044,29242,0.9067082394344457,0.6676441171122022,0.7690253321987299
0.43,2,56655,1992,31329,0.9660340682387846,0.6439238952536824,0.7727561020520899
0.43,3,53842,914,34142,0.9833077653590474,0.6119521731223859,0.7544066134230069
0.44,1,58702,5898,29282,0.9086996904024768,0.6671894889979997,0.7694384732344152
0.44,2,56607,1955,31377,0.9666165773026878,0.6433783415166394,0.7725492336877159
0.44,3,53770,889,34214,0.9837355238844472,0.6111338425168212,0.7539101112567739
