structure,init_mode,seed,selected_epoch,threshold,min_area,proxy_precision,proxy_recall,proxy_f1,pretrained_f1_gain_vs_scratch
hybrid_rms,pretrained,47,24,0.10,2,0.9163687917590456,0.6905573740680123,0.7875971403942004,0.0131827889781545
hybrid_rms,scratch,47,86,0.22,2,0.9480902206124465,0.6545167303146027,0.7744143514160459,0
hybrid_rms_motion_detrend,pretrained,47,55,0.17,2,0.9298834987363620,0.6858292416803055,0.7894241084277455,0.0169496877135265
hybrid_rms_motion_detrend,scratch,47,72,0.10,2,0.9348584159374899,0.6581537552282233,0.7724744207142190,0
hybrid_rms_multiscale_contrast,pretrained,47,24,0.10,2,0.9239001005180546,0.6790325513729769,0.7827630708357082,0.0148574253691486
hybrid_rms_multiscale_contrast,scratch,47,86,0.13,2,0.9236225378213013,0.6571194762684124,0.7679056454665596,0
hybrid_rms_motion_detrend_multiscale_contrast,pretrained,47,75,0.17,2,0.9333394405765237,0.6947854155300964,0.7965858743810268,0.0261102425158246
hybrid_rms_motion_detrend_multiscale_contrast,scratch,47,39,0.14,2,0.9315046415678184,0.6569148936170213,0.7704756318652022,0
