threshold,min_area,true_positive,false_positive,false_negative,precision,recall,f1
0.24,2,60580,3642,27404,0.9432904612126686,0.6885342789598109,0.7960264378539611
0.24,3,58304,2182,29680,0.9639255364877823,0.6626659392616839,0.7853977234458139
0.25,1,62349,8134,25635,0.8845962856291588,0.7086402073104201,0.7869020048338139
0.25,2,60532,3580,27452,0.9441602196156725,0.6879887252227678,0.7959709657058699
0.25,3,58235,2146,29749,0.9644590185654428,0.6618817057646845,0.7850234219660972
0.26,1,62274,7915,25710,0.887233042214592,0.7077877795962902,0.7874163099896948
0.26,2,60475,3511,27509,0.9451286218860375,0.6873408801600291,0.7958807659406463
0.26,3,58133,2104,29851,0.9650713016916513,0.6607224040734679,0.784409766497325
0.27,1,62224,7772,25760,0.8889650837190697,0.707219494453537,0.7877452842131916
0.27,2,60414,3462,27570,0.9458012399023107,0.6866475722858701,0.7956538917423943
0.27,3,58073,2070,29911,0.965582029496367,0.660040461902164,0.7840974299081194
0.28,1,62156,7602,25828,0.8910232518134121,0.7064466266593926,0.788071661320384
0.28,2,60317,3398,27667,0.9466687593188418,0.6855450991089289,0.7952194806821403
0.28,3,57975,2030,30009,0.966169485876177,0.6589266230223677,0.7835041793646825
0.29,1,62107,7456,25877,0.8928165835285999,0.7058897072194944,0.7884250414162123
0.29,2,60271,3363,27713,0.9471508941760693,0.685022276777596,0.7950375285256367
0.29,3,57913,2004,30071,0.9665537326635179,0.6582219494453537,0.78313195989209
0.3,1,62044,7312,25940,0.8945729280812043,0.7051736679396254,0.7886614973941782
0.3,2,60204,3293,27780,0.9481392821708112,0.6842607746863066,0.7948719641407175
0.3,3,57820,1982,30164,0.9668572957426173,0.6571649390798326,0.782482779153641
0.31,1,61991,7162,25993,0.8964325481179414,0.704571285688307,0.7890057720333211
0.31,2,60131,3228,27853,0.9490522262030651,0.6834310783778869,0.7946320609476487
0.31,3,57716,1942,30268,0.9674477857118912,0.655982905982906,0.7818371466113978
0.32,1,61959,7060,26025,0.8977093264173633,0.7042075831969449,0.7892715425819888
0.32,2,60084,3191,27900,0.9495693401817463,0.6828968903436988,0.7944519003827871
0.32,3,57647,1921,30337,0.9677511415525114,0.6551986724859066,0.7813787681630883
0.33,1,61909,6911,26075,0.8995786108689334,0.7036392980541917,0.7896354684829469
0.33,2,60029,3151,27955,0.9501266223488446,0.6822717766866703,0.7942234923659072
0.33,3,57550,1891,30434,0.9681869416732558,0.6540961993089652,0.7807359674410717
0.34,1,61867,6836,26117,0.9004992503966348,0.703161938534279,0.7896889978109224
0.34,2,59995,3096,27989,0.9509280245993882,0.6818853427895981,0.7942412708919411
0.34,3,57490,1857,30494,0.9687094545638364,0.6534142571376614,0.7804195994054204
0.35,1,61795,6685,26189,0.9023802570093458,0.7023436079287143,0.789894160957153
0.35,2,59934,3016,28050,0.9520889594916601,0.6811920349154392,0.7941749373898525
0.35,3,57405,1821,30579,0.9692533684530442,0.6524481723949809,0.7799062563684531
0.36,1,61741,6591,26243,0.9035444594040859,0.7017298599745408,0.78995112464495
0.36,2,59889,2983,28095,0.9525543962336175,0.6806805782869613,0.7939889696134063
0.36,3,57351,1801,30633,0.9695530159588855,0.6518344244408074,0.7795644845585037
0.37,1,61695,6460,26289,0.9052160516469812,0.7012070376432079,0.7902573988561475
0.37,2,59818,2918,28166,0.9534876307064525,0.6798736133842517,0.7937632696390658
0.37,3,57246,1759,30738,0.9701889670366918,0.6506410256410257,0.7789154290457109
0.38,1,61651,6368,26333,0.9063790999573649,0.700706946717585,0.7903822362390467
0.38,2,59767,2885,28217,0.9539519887633275,0.6792939625386434,0.7935287713428396
0.38,3,57194,1745,30790,0.9703931183087598,0.6500500090925623,0.7785574756845421
0.39,1,61610,6245,26374,0.9079655147004643,0.7002409529005273,0.7906878252555521
0.39,2,59696,2817,28288,0.9549373730264105,0.6784869976359338,0.7933181392320113
0.39,3,57111,1724,30873,0.9706977139457805,0.6491066557555919,0.7779783270557625
0.4,1,61558,6119,26426,0.9095852357521758,0.699649936352064,0.7909238666075639
0.4,2,59624,2768,28360,0.9556353378638287,0.6776686670303692,0.792998882800447
0.4,3,57019,1697,30965,0.9710981674500988,0.648061011092926,0.7773551465576006
0.41,1,61526,6044,26458,0.9105520201272754,0.699286233860702,0.7910564819933914
0.41,2,59583,2739,28401,0.9560508327717339,0.6772026732133115,0.7928226418107062
0.41,3,56965,1688,31019,0.9712205684278724,0.6474472631387524,0.7769526108690168
0.42,1,61467,5955,26517,0.9116757141585833,0.6986156573922532,0.7910505385892438
0.42,2,59520,2687,28464,0.956805504203707,0.6764866339334424,0.7925907677557243
0.42,3,56874,1645,31110,0.9718894717954852,0.6464129841789417,0.7764209606629217
0.43,1,61430,5887,26554,0.9125480933493768,0.6981951263866157,0.7911088788868069
0.43,2,59481,2655,28503,0.9572711471610661,0.6760433715220949,0.7924460431654676
0.43,3,56813,1626,31171,0.9721761152654905,0.6457196763047827,0.7760119653333151
0.44,1,61382,5790,26602,0.913803370451974,0.6976495726495726,0.7912294722730671
0.44,2,59421,2610,28563,0.9579242636746143,0.675361429350791,0.7922007799220078
0.44,3,56739,1610,31245,0.9724074105811582,0.6448786142935079,0.7754778484689031
0.45,1,61340,5738,26644,0.9144577954023674,0.6971722131296599,0.7911674040061395
0.45,2,59393,2575,28591,0.9584462948618642,0.6750431896708492,0.7921601579172001
0.45,3,56682,1591,31302,0.9726974756748409,0.6442307692307693,0.775101362669821
0.46,1,61292,5658,26692,0.9154891710231516,0.6966266593926168,0.7912014147959777
0.46,2,59327,2547,28657,0.9588356983547209,0.674293053282415,0.7917762148166931
0.46,3,56595,1564,31389,0.9731082033735106,0.6432419530823786,0.7745153719302328
0.47,1,61254,5587,26730,0.9164135784922428,0.6961947626841244,0.7912675601485548
0.47,2,59279,2518,28705,0.9592536854539865,0.6737474995453718,0.7915423184516059
0.47,3,56539,1544,31445,0.9734173510321437,0.642605473722495,0.7741515879699041
0.48,1,61209,5503,26775,0.9175110924571291,0.6956833060556464,0.7913456068676629
0.48,2,59213,2467,28771,0.9600032425421531,0.6729973631569376,0.7912791319221724
0.48,3,56456,1527,31528,0.973664694824345,0.6416621203855246,0.7735447053101043
0.49,1,61172,5454,26812,0.9181400654399183,0.6952627750500091,0.791307159950844
0.49,2,59177,2439,28807,0.9604161256816411,0.6725881978541554,0.7911363636363637
0.49,3,56402,1513,31582,0.9738755072088405,0.6410483724313512,0.773164997703891
0.5,1,61123,5358,26861,0.919405544441269,0.6947058556101109,0.7914155310264461
0.5,2,59118,2396,28866,0.9610495171830803,0.6719176213857065,0.790886834606483
0.5,3,56321,1490,31663,0.9742263583055127,0.640127750500091,0.7726053705545458
0.51,1,61067,5260,26917,0.9206959458440755,0.6940693762502274,0.7914795445561237
0.51,2,59058,2356,28926,0.9616374116650926,0.6712356792144026,0.7906129934805018
0.51,3,56237,1465,31747,0.9746109320300856,0.6391730314602655,0.7720302568537813
0.52,1,61040,5190,26944,0.921636720519402,0.6937625022731406,0.7916272193186092
0.52,2,59014,2323,28970,0.9621272641309487,0.6707355882887798,0.790431352589388
0.52,3,56182,1444,31802,0.9749418665185854,0.6385479178032369,0.7716777693839709
0.53,1,60985,5099,26999,0.9228406270806851,0.6931373886161121,0.7916634213464185
0.53,2,58953,2282,29031,0.9627337307095615,0.6700422804146209,0.7901540688518219
0.53,3,56087,1420,31897,0.9753073538873528,0.6374681760320058,0.7710030173687717
0.54,1,60950,5036,27034,0.9236807807716788,0.6927395890161847,0.7917126712996037
0.54,2,58913,2248,29071,0.9632445512663298,0.6695876523004183,0.7900097220825372
0.54,3,56020,1400,31964,0.9756182514803204,0.6367066739407164,0.7705427636103546
0.55,1,60879,4949,27105,0.9248192258613356,0.6919326241134752,0.7916027358073493
0.55,2,58845,2215,29139,0.9637242056993122,0.6688147845062739,0.7896325917178819
0.55,3,55901,1374,32083,0.9760104757747708,0.6353541553009638,0.7696734797843852
0.56,1,60840,4879,27144,0.9257596737625344,0.6914893617021277,0.7916566365002635
0.56,2,58797,2193,29187,0.9640432857845549,0.6682692307692307,0.7893592170445849
0.56,3,55831,1354,32153,0.9763224621841392,0.6345585561011093,0.7691862587742563
0.57,1,60786,4781,27198,0.9270822212393429,0.6908756137479541,0.7917369473334592
0.57,2,58738,2148,29246,0.9647209539138718,0.6675986543007819,0.7891180224356821
0.57,3,55741,1326,32243,0.9767641544149859,0.6335356428441535,0.7685710543188258
0.58,1,60749,4715,27235,0.9279756812904802,0.6904550827423168,0.7917861425368855
0.58,2,58700,2123,29284,0.9650954408694079,0.6671667575922895,0.7889413804458123
0.58,3,55681,1304,32303,0.9771167851188909,0.6328537006728496,0.7681780242672572
0.59,1,60702,4634,27282,0.9290743234970001,0.6899208947081288,0.7918340725280458
0.59,2,58629,2081,29355,0.9657222862790314,0.6663597926895799,0.7885859550486234
0.59,3,55590,1279,32394,0.9775097153106261,0.6318194217130387,0.767536744147515
0.6,1,60637,4536,27347,0.9304006260261151,0.6891821240225495,0.7918279934968692
0.6,2,58561,2042,29423,0.9663052984175701,0.6655869248954356,0.7882385403837483
0.6,3,55486,1249,32498,0.9779853705825329,0.6306373886161121,0.7668101631437476
0.61,1,60604,4479,27380,0.9311801853018453,0.6888070558283325,0.7918623870592616
0.61,2,58516,2024,29468,0.9665675586389164,0.6650754682669576,0.7879669279039078
0.61,3,55427,1238,32557,0.9781522985970176,0.6299668121476633,0.7663654778118065
0.62,1,60542,4380,27442,0.9325344259264964,0.6881023822513184,0.7918852105214969
0.62,2,58435,1983,29549,0.9671786553676057,0.6641548463356974,0.7875230792037844
0.62,3,55308,1217,32676,0.9784697036709421,0.6286142935079105,0.7654609747489776
0.63,1,60504,4326,27480,0.9332716335030079,0.687670485542826,0.791864619733794
0.63,2,58378,1953,29606,0.9676285823208632,0.6635070012729587,0.7872163975322792
0.63,3,55248,1201,32736,0.978724158089603,0.6279323513366066,0.7650329218391918
0.64,1,60450,4231,27534,0.9345866637807084,0.6870567375886525,0.7919300429043984
0.64,2,58313,1910,29671,0.9682845424505587,0.6627682305873795,0.7869128988509315
0.64,3,55149,1175,32835,0.9791385555003196,0.6268071467539552,0.7643235302270143
0.65,1,60411,4166,27573,0.9354878671972994,0.686613475177305,0.7919586263855114
0.65,2,58277,1877,29707,0.9687967549955115,0.6623590652845972,0.7867933953475813
0.65,3,55064,1164,32920,0.9792985701074198,0.6258410620112748,0.7636535101101157
0.66,1,60357,4078,27627,0.9367114146038643,0.6859997272231315,0.7919878755273294
0.66,2,58206,1848,29778,0.969227695074433,0.6615521003818876,0.786365662870344
0.66,3,54960,1141,33024,0.9796616816099535,0.6246590289143481,0.762883020439324
0.67,1,60305,4027,27679,0.937402847727414,0.6854087106746681,0.7918406470758161
0.67,2,58139,1830,29845,0.9694842335206524,0.6607905982905983,0.785911742242469
0.67,3,54887,1130,33097,0.9798275523501794,0.6238293326059283,0.7623141505961765
0.68,1,60249,3945,27735,0.9385456584727545,0.6847722313147845,0.7918227339037182
0.68,2,58063,1782,29921,0.9702230762803911,0.6599268048736134,0.785542755480995
0.68,3,54771,1100,33213,0.9803117896583201,0.6225109110747409,0.7614750964512877
0.69,1,60209,3890,27775,0.9393126257819935,0.6843176032005819,0.7917913244741357
0.69,2,58000,1749,29984,0.9707275435572144,0.6592107655937444,0.7852003276180677
0.69,3,54701,1080,33283,0.980638568688263,0.6217153118748864,0.7609779849059229
0.7,1,60156,3795,27828,0.9406576910447061,0.6837152209492635,0.7918649422450391
0.7,2,57932,1711,30052,0.9713126435625304,0.6584378977995999,0.7848428810447955
0.7,3,54573,1058,33411,0.9809818266793694,0.620260501909438,0.7599902517146538
0.71,1,60096,3719,27888,0.9417221656350387,0.6830332787779596,0.791783872094019
0.71,2,57856,1673,30128,0.9718960506643821,0.657574104382615,0.7844190003592905
