threshold,min_area,true_positive,false_positive,false_negative,precision,recall,f1
0.23,2,59262,4062,28722,0.9358537047564904,0.6735542825968358,0.7833293679118091
0.23,3,56691,2542,31293,0.957084733172387,0.6443330605564648,0.7701692060020242
0.24,1,61386,8045,26598,0.884129567484265,0.6976950354609929,0.7799256741733634
0.24,2,59164,3981,28820,0.9369546282365983,0.6724404437170395,0.7829602524995202
0.24,3,56557,2484,31427,0.9579275418776783,0.6428100563738861,0.7693521509947286
0.25,1,61339,7917,26645,0.8856849948018944,0.6971608474268048,0.7801958789112186
0.25,2,59106,3913,28878,0.9379076151636808,0.6717812329514458,0.7828453739329683
0.25,3,56474,2451,31510,0.9584047518031396,0.6418667030369158,0.768829683681735
0.26,1,61248,7728,26736,0.8879610299234516,0.696126568466994,0.7804281345565749
0.26,2,59011,3840,28973,0.938903120077644,0.6707014911802146,0.7824576524016309
0.26,3,56361,2399,31623,0.9591729067392785,0.6405823786142935,0.7681540642206837
0.27,1,61206,7640,26778,0.889027684978067,0.6956492089470813,0.7805394376076007
0.27,2,58956,3784,29028,0.939687599617469,0.670076377523186,0.7823040789787956
0.27,3,56308,2364,31676,0.959708208344696,0.6399799963629751,0.7678922103425704
0.28,1,61116,7472,26868,0.891059660582026,0.6946262956901255,0.7806759829343689
0.28,2,58859,3722,29125,0.940525079496972,0.6689739043462448,0.7818417294856043
0.28,3,56163,2326,31821,0.9602318384653524,0.6383319694489907,0.7668717101445317
0.29,1,61049,7377,26935,0.8921901031771549,0.6938647935988361,0.7806278370948149
0.29,2,58808,3678,29176,0.9411388150945812,0.6683942535006365,0.7816574732504818
0.29,3,56092,2302,31892,0.9605781415898894,0.6375250045462811,0.7663993223025318
0.3,1,60978,7230,27006,0.8940007037297678,0.6930578286961265,0.7808082360172095
0.3,2,58719,3617,29265,0.9419757443531828,0.6673827059465357,0.7812533262373603
0.3,3,55982,2260,32002,0.9611963874866934,0.636274777232224,0.7656914638983491
0.31,1,60896,7097,27088,0.8956216081067169,0.6921258410620112,0.7808330715425992
0.31,2,58620,3552,29364,0.9428681721675353,0.6662575013638844,0.7807879805002798
0.31,3,55879,2223,32105,0.9617396991497711,0.6351041098381524,0.7650151280752433
0.32,1,60847,7012,27137,0.8966680911890832,0.6915689216221131,0.7808756248275508
0.32,2,58564,3492,29420,0.9437282454557174,0.6656210220040008,0.7806451612903225
0.32,3,55803,2200,32181,0.9620709273658259,0.6342403164211675,0.7644927288046197
0.33,1,60770,6866,27214,0.8984860133656632,0.6906937625022731,0.7810050122092277
0.33,2,58485,3398,29499,0.945089927766915,0.6647231314784506,0.7804920362721612
0.33,3,55706,2159,32278,0.9626890175408278,0.6331378432442262,0.7638859368250723
0.34,1,60725,6793,27259,0.8993897923516692,0.6901823058737953,0.7810188936476701
0.34,2,58411,3367,29573,0.9454983974877789,0.6638820694671759,0.7800510142759846
0.34,3,55646,2147,32338,0.9628501721661793,0.6324559010729224,0.7634400488417239
0.35,1,60659,6701,27325,0.9005195961995249,0.689432169485361,0.7809635389844475
0.35,2,58353,3313,29631,0.9462750948658905,0.6632228587015822,0.7798596725693284
0.35,3,55555,2104,32429,0.9635095995421357,0.6314216221131115,0.7628928269810428
0.36,1,60607,6621,27377,0.9015142500148747,0.6888411529368976,0.7809576579130479
0.36,2,58289,3276,29695,0.9467879476975555,0.662495453718858,0.7795304549010692
0.36,3,55484,2078,32500,0.9638997950036482,0.6306146572104019,0.7624256248883514
0.37,1,60541,6510,27443,0.9029097254328794,0.6880910165484634,0.7809978391976005
0.37,2,58210,3241,29774,0.9472587915575011,0.6615975631933079,0.7790678221300231
0.37,3,55390,2047,32594,0.9643609519995822,0.6295462811420258,0.7617881874007193
0.38,1,60493,6417,27491,0.9040950530563443,0.6875454628114203,0.7810890028019162
0.38,2,58156,3210,29828,0.9476909037577812,0.6609838152391344,0.7787880816873117
0.38,3,55326,2030,32658,0.9646070158309505,0.6288188761593017,0.7613320489885785
0.39,1,60443,6300,27541,0.9056080787498314,0.6869771776686671,0.7812857484472651
0.39,2,58065,3163,29919,0.9483406284706344,0.6599495362793235,0.7782886094952148
0.39,3,55234,1993,32750,0.9651737816065843,0.6277732314966358,0.7607412661575225
0.4,1,60380,6194,27604,0.9069606753387208,0.686261138388798,0.7813248101036504
