threshold,min_area,true_positive,false_positive,false_negative,precision,recall,f1
0.19,2,60176,4336,27808,0.9327876984126984,0.6839425350063648,0.7892141433217921
0.19,3,57842,2386,30142,0.960383874609816,0.6574149845426441,0.7805305913151432
0.2,1,61779,9803,26205,0.8630521639518315,0.7021617566830333,0.7743378915307773
0.2,2,60082,4227,27902,0.9342704753611469,0.6828741589379888,0.7890316692165761
0.2,3,57713,2314,30271,0.9614506805270961,0.6559488088743408,0.7798474437710711
0.21,1,61719,9623,26265,0.8651145187967817,0.7014798145117294,0.7747511391737695
0.21,2,60025,4143,27959,0.935435107841915,0.68222631387525,0.7890136179609863
0.21,3,57640,2287,30344,0.961836901563569,0.655119112565921,0.7793876047082366
0.22,1,61655,9373,26329,0.8680379568620825,0.7007524095290053,0.7754760646995195
0.22,2,59926,4037,28058,0.9368853868642809,0.6811011092925987,0.7887750333998038
0.22,3,57546,2226,30438,0.9627584822324834,0.654050736497545,0.7789328352148137
0.23,1,61606,9185,26378,0.8702518681753331,0.7001954900891071,0.7760163753739568
0.23,2,59866,3968,28118,0.9378387693078923,0.6804191671212948,0.7886548367123793
0.23,3,57476,2191,30508,0.9632795347512025,0.6532551372976905,0.7785385808426627
0.24,1,61528,8989,26456,0.8725271920246181,0.6993089652664121,0.7763736506394281
0.24,2,59784,3863,28200,0.9393058588778733,0.6794871794871795,0.7885458778218174
0.24,3,57375,2142,30609,0.9640102827763496,0.652107201309329,0.7779608273842211
0.25,1,61495,8825,26489,0.8745022753128555,0.698933897072195,0.7769228825550839
0.25,2,59746,3800,28238,0.940200799420892,0.679055282778687,0.7885699201478255
0.25,3,57328,2102,30656,0.964630657916877,0.6515730132751409,0.7777823001885844
0.26,1,61432,8644,26552,0.8766482105142988,0.6982178577923259,0.7773250664304695
0.26,2,59667,3709,28317,0.9414762686190356,0.678157392253137,0.788411733615222
0.26,3,57216,2057,30768,0.9652961719501291,0.6503000545553737,0.7770903929864115
0.27,1,61391,8515,26593,0.8781935742282494,0.6977518639752682,0.7776426626132117
0.27,2,59617,3654,28367,0.9422484234483413,0.6775891071103837,0.7882979075071899
0.27,3,57152,2022,30832,0.9658295873187549,0.6495726495726496,0.7767433642751329
0.28,1,61332,8317,26652,0.8805869431004034,0.6970812875068194,0.778161933097765
0.28,2,59522,3563,28462,0.9435206467464532,0.6765093653391526,0.7880107765325779
0.28,3,57061,1974,30923,0.9665622088591513,0.6485383706128387,0.7762398057393942
0.29,1,61295,8197,26689,0.88204397628504,0.6966607565011821,0.7784678300185427
0.29,2,59478,3502,28506,0.9443950460463639,0.6760092744135298,0.7879759412840148
0.29,3,56996,1948,30988,0.9669516829533116,0.6477995999272596,0.7758357835130133
0.3,1,61230,7998,26754,0.8844687120818167,0.6959219858156028,0.7789481718952752
0.3,2,59422,3427,28562,0.9454724816623972,0.6753727950536461,0.7879177633541732
0.3,3,56901,1916,31083,0.9674243841066358,0.6467198581560284,0.7752127029107431
0.31,1,61170,7818,26814,0.8866759436423726,0.6952400436442989,0.7793746655454475
0.31,2,59358,3355,28626,0.9465023200931226,0.674645390070922,0.7877794514821131
0.31,3,56807,1882,31177,0.9679326619979894,0.6456514820876523,0.7746074601324033
0.32,1,61122,7721,26862,0.8878462588788983,0.6946944899072559,0.7794831247170448
0.32,2,59317,3311,28667,0.9471322731046816,0.6741793962538644,0.7876796005630363
0.32,3,56748,1861,31236,0.9682471975293897,0.6449809056192035,0.774225235857101
0.33,1,61067,7582,26917,0.889554108581334,0.6940693762502274,0.7797462859039921
0.33,2,59247,3259,28737,0.947861005343487,0.6733837970540099,0.787387866303409
0.33,3,56635,1849,31349,0.9683845154230217,0.6436965811965812,0.7733429827675671
0.34,1,61026,7484,26958,0.8907604729236608,0.6936033824331697,0.7799148849157156
0.34,2,59200,3224,28784,0.9483531974881456,0.6728496090198218,0.787192170629222
0.34,3,56577,1830,31407,0.9686681390929169,0.6430373704309874,0.7729573539356928
0.35,1,60977,7361,27007,0.8922854048991776,0.6930464629932716,0.7801461086731236
0.35,2,59126,3169,28858,0.9491291435909784,0.6720085470085471,0.7868830641673155
0.35,3,56482,1802,31502,0.9690824239928625,0.6419576286597564,0.7723083654661308
0.36,1,60938,7260,27046,0.8935452652570457,0.692603200581924,0.7803460065820645
0.36,2,59078,3123,28906,0.9497918039902895,0.6714629932715039,0.7867363584911942
0.36,3,56419,1792,31565,0.9692154403806841,0.6412415893798873,0.7718321420021206
0.37,1,60883,7114,27101,0.8953777372531141,0.6919780869248955,0.7806463607747098
0.37,2,59005,3061,28979,0.9506815325621113,0.6706332969630842,0.7864711762745751
0.37,3,56325,1758,31659,0.9697329683384123,0.6401732133115112,0.7712214257840581
0.38,1,60837,7035,27147,0.8963490099009901,0.6914552645935624,0.7806821681552202
0.38,2,58976,3017,29008,0.9513332150404078,0.6703036915802874,0.7864672583129413
0.38,3,56272,1736,31712,0.9700730933664322,0.6395708310601927,0.7708915557016822
0.39,1,60793,6902,27191,0.8980426914838614,0.6909551736679396,0.7810045028552342
0.39,2,58914,2981,29070,0.9518377898053154,0.6695990180032734,0.7861541643592498
0.39,3,56212,1711,31772,0.9704607841444677,0.6388888888888888,0.7705182068029635
0.4,1,60744,6761,27240,0.8998444559662248,0.6903982542280415,0.7813285827293249
