threshold,min_area,true_positive,false_positive,false_negative,precision,recall,f1
0.21,2,57034,2979,30950,0.9503607551697132,0.648231496635752,0.7707453529463435
0.21,3,54447,1546,33537,0.9723894058185845,0.6188284233496999,0.7563291359036511
0.22,1,59288,8163,28696,0.8789788142503447,0.6738497908710674,0.7628655064818092
0.22,2,56962,2911,31022,0.9513804218930069,0.6474131660301873,0.7705012275374179
0.22,3,54358,1509,33626,0.9729894213041689,0.6178168757955992,0.7557542179060277
0.23,1,59267,8048,28717,0.8804426947931367,0.6736111111111112,0.763263124682065
0.23,2,56927,2871,31057,0.9519883608147429,0.64701536643026,0.7704185895440581
0.23,3,54322,1492,33662,0.9732683556097037,0.6174077104928168,0.7555320658145455
0.24,1,59208,7897,28776,0.8823187541911929,0.6729405346426623,0.7635357762317121
0.24,2,56868,2795,31116,0.9531535457486214,0.6463447899618112,0.770323812878013
0.24,3,54249,1464,33735,0.9737224705185504,0.6165780141843972,0.7550470782271028
0.25,1,59178,7799,28806,0.8835570419696314,0.6725995635570103,0.763779273494621
0.25,2,56823,2757,31161,0.9537260825780464,0.6458333333333334,0.7701471903716354
0.25,3,54201,1455,33783,0.9738572660629582,0.616032460447354,0.7546783625730994
0.26,1,59128,7671,28856,0.8851629515411907,0.6720312784142571,0.7640115516561896
0.26,2,56766,2694,31218,0.9546922300706358,0.6451854882705946,0.7700008138683162
0.26,3,54123,1432,33861,0.9742237422374224,0.615145935624659,0.7541225729592654
0.27,1,59091,7561,28893,0.8865600432095061,0.6716107474086197,0.764259292790812
0.27,2,56725,2653,31259,0.9553201522449392,0.644719494453537,0.7698728301733148
0.27,3,54062,1410,33922,0.9745817709835592,0.6144526277505001,0.7537084541601606
0.28,1,59035,7401,28949,0.8885995544584262,0.6709742680487362,0.764603030695506
0.28,2,56663,2590,31321,0.9562891330396773,0.644014820876523,0.769684250562019
0.28,3,53979,1380,34005,0.9750718040427031,0.6135092744135298,0.7531445553671963
0.29,1,59002,7311,28982,0.889750124409995,0.670599199854519,0.7647847981490243
0.29,2,56624,2552,31360,0.9568744085440043,0.6435715584651754,0.7695569448219625
0.29,3,53933,1368,34051,0.9752626534782373,0.6129864520821967,0.7528073420106779
0.3,1,58958,7175,29026,0.8915065096094235,0.6700991089288961,0.7651070290753129
0.3,2,56573,2505,31411,0.9575984291953011,0.6429919076195671,0.7693761814744801
0.3,3,53873,1342,34111,0.9756950104138368,0.6123045099108929,0.7524214554570912
0.31,1,58921,7070,29063,0.8928641784485764,0.6696785779232588,0.7653320344211724
0.31,2,56524,2469,31460,0.9581475768311495,0.642434988179669,0.7691543574845043
0.31,3,53814,1315,34170,0.9761468555569663,0.6116339334424441,0.7520490800975452
0.32,1,58899,7000,29085,0.8937768403162415,0.6694285324604473,0.7655036618729814
0.32,2,56484,2440,31500,0.9585907270382187,0.6419803600654664,0.7689710567157676
0.32,3,53772,1295,34212,0.9764831932010096,0.6111565739225314,0.7517878239229367
0.33,1,58855,6876,29129,0.8953918242533965,0.6689284415348246,0.7657678170640471
0.33,2,56428,2403,31556,0.9591541874181979,0.6413438807055828,0.7686952968020978
0.33,3,53721,1266,34263,0.9769763762343827,0.6105769230769231,0.7514950584384247
0.34,1,58836,6791,29148,0.8965212488762248,0.6687124931805782,0.7660388904440437
0.34,2,56400,2372,31584,0.9596406452051998,0.6410256410256411,0.7686227479626047
0.34,3,53677,1253,34307,0.9771891498270526,0.6100768321513003,0.7511790307457632
0.35,1,58792,6671,29192,0.8980951071597696,0.6682124022549555,0.7662841241601334
0.35,2,56344,2339,31640,0.9601417787093366,0.6403891616657574,0.7683255265328942
0.35,3,53625,1239,34359,0.9774168853893264,0.6094858156028369,0.7507980510752689
0.36,1,58754,6612,29230,0.8988464951197871,0.667780505546463,0.7662732311705249
0.36,2,56315,2320,31669,0.9604331883687217,0.6400595562829605,0.7681814771618959
0.36,3,53589,1229,34395,0.9775803568171039,0.6090766503000545,0.7505357067828181
0.37,1,58716,6513,29268,0.9001517729844087,0.6673486088379705,0.7664623759080496
0.37,2,56278,2286,31706,0.9609657810258863,0.6396390252773232,0.7680486939432815
0.37,3,53514,1191,34470,0.9782286811077598,0.6082242225859247,0.7500788427979732
0.38,1,58683,6426,29301,0.9013039671934756,0.6669735406437534,0.766632047187004
0.38,2,56246,2262,31738,0.9613386203596089,0.6392753227859611,0.7679054146301505
0.38,3,53470,1173,34514,0.978533389455191,0.6077241316603019,0.7497879083203042
0.39,1,58654,6332,29330,0.9025636290893423,0.6666439352609566,0.7668693207818527
0.39,2,56204,2219,31780,0.9620183831710114,0.6387979632660483,0.7677774969776036
0.39,3,53393,1149,34591,0.9789336657988339,0.6068489725404619,0.7492387353886308
0.4,1,58611,6236,29373,0.9038351812728422,0.6661552100381888,0.767004076398113
0.4,2,56153,2184,31831,0.9625623532235117,0.63821831242044,0.767531659843768
0.4,3,53328,1136,34656,0.9791421856639247,0.6061102018548827,0.7487363809951701
0.41,1,58590,6189,29394,0.904459778631964,0.6659165302782324,0.7670705602796487
0.41,2,56126,2149,31858,0.9631231231231231,0.6379114384433533,0.7674878127157987
0.41,3,53286,1125,34698,0.9793240337431769,0.60563284233497,0.7484251553776465
0.42,1,58555,6094,29429,0.9057371343717614,0.6655187306783051,0.7672652702888628
0.42,2,56089,2113,31895,0.9636954056561631,0.637490907437716,0.7673648639404593
0.42,3,53210,1112,34774,0.979529472405287,0.6047690489179851,0.7478251092715696
0.43,1,58530,6024,29454,0.9066827772097779,0.6652345881069285,0.7674153325728671
0.43,2,56056,2089,31928,0.9640725771777453,0.6371158392434988,0.7672125313934948
0.43,3,53154,1098,34830,0.9797611147976112,0.6041325695581015,0.747405720070868
0.44,1,58481,5931,29503,0.9079208843072719,0.6646776686670304,0.767487335625607
0.44,2,55998,2052,31986,0.9646511627906976,0.6364566284779051,0.7669172932330827
0.44,3,53091,1079,34893,0.9800812257707218,0.6034165302782324,0.7469504903133222
0.45,1,58446,5878,29538,0.908618866985884,0.6642798690671031,0.7674711768259054
0.45,2,55951,2029,32033,0.9650051741979994,0.635922440443717,0.7666410895837329
0.45,3,53048,1063,34936,0.9803551958012234,0.6029278050554646,0.74665540659418
0.46,1,58392,5788,29592,0.9098161421003428,0.6636661211129297,0.7674877106280068
0.46,2,55902,2007,32082,0.9653421747914832,0.6353655210038188,0.766342456457815
0.46,3,52982,1047,35002,0.9806215180736271,0.6021776686670304,0.7461570419609472
0.47,1,58362,5728,29622,0.9106256826337962,0.6633251500272777,0.7675473782500624
0.47,2,55870,1993,32114,0.9655565732851736,0.6350018185124569,0.7661453440934678
0.47,3,52937,1042,35047,0.980696196669075,0.6016662120385524,0.7457858737840141
0.48,1,58324,5625,29660,0.9120392813022877,0.6628932533187852,0.7677594729255659
0.48,2,55822,1971,32162,0.9658955236793383,0.6344562647754137,0.7658546958710908
0.48,3,52872,1036,35112,0.9807820731616829,0.6009274413529733,0.7452428607673441
0.49,1,58301,5556,29683,0.9129930939442817,0.6626318421531188,0.7679217075756878
0.49,2,55780,1942,32204,0.9663559821212017,0.633978905255501,0.7656513801765199
0.49,3,52833,1034,35151,0.9808045742291198,0.6004841789416258,0.744908389789286
0.5,1,58265,5475,29719,0.9141041732036398,0.6622226768503364,0.7680393345812132
0.5,2,55730,1918,32254,0.9667291146267,0.6334106201127477,0.765353768402549
0.5,3,52776,1032,35208,0.9808206958073149,0.599836333878887,0.7444143534190928
